question_type;scene_number;seed;question;answer;question_object_ids;container_id
counting;8;875936925;Please tell me how many apples there are somewhere in the room?;3;[9];36;
counting;8;931045028;There are between 0 and 3 mugs in the room. How many are there?;0;[13];36;
counting;8;947368229;Count the number of mugs in this room.;1;[13];36;
counting;8;770197152;There are between 0 and 3 mugs in the room. How many are there?;2;[13];36;
counting;8;103257902;Count the number of mugs in this room.;3;[13];36;
counting;8;137099255;There are between 0 and 3 forks in the room. How many are there?;0;[3];36;
counting;8;990892302;There are between 0 and 3 forks in the room. How many are there?;1;[3];36;
counting;8;212444709;Count the number of forks in this room.;2;[3];36;
counting;8;57254390;Count the number of forks in this room.;3;[3];36;
counting;9;752854989;Count the number of mugs in this room.;0;[13];36;
counting;9;49072166;Please tell me how many mugs are around here?;1;[13];36;
counting;9;509917042;Count the number of mugs in this room.;2;[13];36;
counting;9;250298615;Count the number of mugs in this room.;3;[13];36;
counting;9;286922978;How many tomatoes are there in the room?;0;[6];36;
counting;9;180906723;How many tomatoes are there in the room?;1;[6];36;
counting;9;556714627;How many tomatoes are there in the room?;2;[6];36;
counting;9;313197733;How many tomatoes are there in the room?;3;[6];36;
counting;9;711087628;There are between 0 and 3 apples in the room. How many are there?;0;[9];36;
counting;9;913689440;Please tell me how many apples there are somewhere in the room?;1;[9];36;
counting;9;966977728;Please tell me how many apples are around here?;2;[9];36;
counting;9;863278918;Please tell me how many apples are around here?;3;[9];36;
counting;9;909200408;Please tell me how many loaves of bread are around here?;0;[12];36;
counting;9;314023381;There are between 0 and 3 loaves of bread in the room. How many are there?;1;[12];36;
counting;9;273314608;Please tell me how many loaves of bread are around here?;2;[12];36;
counting;9;758779204;How many loaves of bread are there in the room?;3;[12];36;
counting;9;165923615;Count the number of plates in this room.;0;[4];36;
counting;9;812163946;Please tell me how many plates there are somewhere in the room?;1;[4];36;
counting;9;888926861;How many plates are there in the room?;2;[4];36;
counting;9;219270564;Please tell me how many plates are around here?;3;[4];36;
counting;9;646266044;Please tell me how many spoons are around here?;0;[1];36;
counting;9;492145103;Please tell me how many spoons are around here?;1;[1];36;
counting;9;670336931;There are between 0 and 3 spoons in the room. How many are there?;2;[1];36;
counting;9;746125508;How many spoons are there in the room?;3;[1];36;
counting;9;778092722;Count the number of eggs in this room.;0;[5];36;
counting;9;773394307;How many eggs are there in the room?;1;[5];36;
counting;9;705099609;How many eggs are there in the room?;2;[5];36;
counting;9;462307072;There are between 0 and 3 eggs in the room. How many are there?;3;[5];36;
counting;9;247934121;Please tell me how many tomatoes are around here?;0;[6];36;
counting;9;372300222;How many tomatoes are there in the room?;1;[6];36;
counting;9;208092595;Count the number of tomatoes in this room.;2;[6];36;
counting;9;170235706;Count the number of tomatoes in this room.;3;[6];36;
counting;10;82270152;How many mugs are there in the room?;0;[13];36;
counting;10;336900880;Count the number of mugs in this room.;1;[13];36;
counting;10;80730605;Count the number of mugs in this room.;2;[13];36;
counting;10;57259300;There are between 0 and 3 mugs in the room. How many are there?;3;[13];36;
counting;10;635855779;Please tell me how many heads of lettuce are around here?;0;[8];36;
counting;10;842180241;Count the number of heads of lettuce in this room.;1;[8];36;
counting;10;690362399;How many heads of lettuce are there in the room?;2;[8];36;
counting;10;216131045;There are between 0 and 3 heads of lettuce in the room. How many are there?;3;[8];36;
counting;10;570259375;Please tell me how many mugs there are somewhere in the room?;0;[13];36;
counting;10;431974945;There are between 0 and 3 mugs in the room. How many are there?;1;[13];36;
counting;10;761914934;Please tell me how many mugs are around here?;2;[13];36;
counting;10;200260059;Count the number of mugs in this room.;3;[13];36;
counting;10;589102574;Please tell me how many forks there are somewhere in the room?;0;[3];36;
counting;10;282749468;How many forks are there in the room?;1;[3];36;
counting;10;572864998;Please tell me how many forks there are somewhere in the room?;2;[3];36;
counting;10;125669080;There are between 0 and 3 forks in the room. How many are there?;3;[3];36;
counting;11;490029608;There are between 0 and 3 spoons in the room. How many are there?;0;[1];36;
counting;11;666792951;Please tell me how many spoons are around here?;1;[1];36;
counting;11;61225319;How many spoons are there in the room?;2;[1];36;
counting;11;111925384;Please tell me how many spoons there are somewhere in the room?;3;[1];36;
counting;11;892810702;Count the number of apples in this room.;0;[9];36;
counting;11;681836604;Please tell me how many apples there are somewhere in the room?;1;[9];36;
counting;11;446704389;There are between 0 and 3 apples in the room. How many are there?;2;[9];36;
counting;11;235624005;Please tell me how many apples are around here?;3;[9];36;
counting;11;495705804;There are between 0 and 3 potatoes in the room. How many are there?;0;[2];36;
counting;11;513665386;How many potatoes are there in the room?;1;[2];36;
counting;11;252724882;How many potatoes are there in the room?;2;[2];36;
counting;11;668449702;Please tell me how many potatoes there are somewhere in the room?;3;[2];36;
counting;11;645018968;Count the number of plates in this room.;0;[4];36;
counting;11;665476341;Count the number of plates in this room.;1;[4];36;
counting;11;377182980;How many plates are there in the room?;2;[4];36;
counting;11;533666954;Please tell me how many plates are around here?;3;[4];36;
counting;11;367882021;Please tell me how many plates there are somewhere in the room?;0;[4];36;
counting;11;13147935;Please tell me how many plates are around here?;1;[4];36;
counting;11;321288119;There are between 0 and 3 plates in the room. How many are there?;2;[4];36;
counting;11;444042385;How many plates are there in the room?;3;[4];36;
counting;11;642356576;There are between 0 and 3 plates in the room. How many are there?;0;[4];36;
counting;11;311351211;Count the number of plates in this room.;1;[4];36;
counting;11;259232175;Please tell me how many plates are around here?;2;[4];36;
counting;11;980261891;Please tell me how many plates there are somewhere in the room?;3;[4];36;
counting;13;920479497;Please tell me how many forks are around here?;0;[3];36;
counting;13;587574785;Please tell me how many forks are around here?;1;[3];36;
counting;13;536062578;Please tell me how many forks are around here?;2;[3];36;
counting;13;21311692;Please tell me how many forks there are somewhere in the room?;3;[3];36;
counting;13;850393184;Please tell me how many mugs are around here?;0;[13];36;
counting;13;536102311;Count the number of mugs in this room.;1;[13];36;
counting;13;865473308;How many mugs are there in the room?;2;[13];36;
counting;13;641288070;There are between 0 and 3 mugs in the room. How many are there?;3;[13];36;
counting;13;614626122;Please tell me how many spoons there are somewhere in the room?;0;[1];36;
counting;13;355712122;Count the number of spoons in this room.;1;[1];36;
counting;13;277834175;There are between 0 and 3 spoons in the room. How many are there?;2;[1];36;
counting;13;330987282;How many spoons are there in the room?;3;[1];36;
counting;14;406624537;Please tell me how many eggs are around here?;0;[5];36;
counting;14;67541995;How many eggs are there in the room?;1;[5];36;
counting;14;189425570;Please tell me how many eggs there are somewhere in the room?;2;[5];36;
counting;14;10813543;Count the number of eggs in this room.;3;[5];36;
counting;14;663742020;Count the number of knives in this room.;0;[10];36;
counting;14;931700894;Count the number of knives in this room.;1;[10];36;
counting;14;531872315;There are between 0 and 3 knives in the room. How many are there?;2;[10];36;
counting;14;669573357;Please tell me how many knives are around here?;3;[10];36;
counting;14;80445980;Please tell me how many mugs are around here?;0;[13];36;
counting;14;641359268;Please tell me how many mugs there are somewhere in the room?;1;[13];36;
counting;14;391729607;Count the number of mugs in this room.;2;[13];36;
counting;14;167309455;How many mugs are there in the room?;3;[13];36;
counting;14;472228502;Count the number of spoons in this room.;0;[1];36;
counting;14;796201918;Please tell me how many spoons are around here?;1;[1];36;
counting;14;777608634;How many spoons are there in the room?;2;[1];36;
counting;14;804596896;Please tell me how many spoons there are somewhere in the room?;3;[1];36;
counting;14;983698273;How many plates are there in the room?;0;[4];36;
counting;14;846075861;How many plates are there in the room?;1;[4];36;
counting;14;688177417;How many plates are there in the room?;2;[4];36;
counting;14;118269000;Please tell me how many plates there are somewhere in the room?;3;[4];36;
counting;14;266060439;There are between 0 and 3 mugs in the room. How many are there?;0;[13];36;
counting;14;60885095;Count the number of mugs in this room.;1;[13];36;
counting;14;59050067;How many mugs are there in the room?;2;[13];36;
counting;14;903738779;How many mugs are there in the room?;3;[13];36;
counting;16;698520134;There are between 0 and 3 spoons in the room. How many are there?;0;[1];36;
counting;16;786244047;Count the number of spoons in this room.;1;[1];36;
counting;16;682621375;There are between 0 and 3 spoons in the room. How many are there?;2;[1];36;
counting;16;849139475;How many spoons are there in the room?;3;[1];36;
counting;16;289111254;Please tell me how many bowls are around here?;0;[7];36;
counting;16;941373609;Please tell me how many bowls there are somewhere in the room?;1;[7];36;
counting;16;784428562;Please tell me how many bowls there are somewhere in the room?;2;[7];36;
counting;16;773331494;Please tell me how many bowls there are somewhere in the room?;3;[7];36;
counting;16;587570553;Please tell me how many loaves of bread are around here?;0;[12];36;
counting;16;110440827;Count the number of loaves of bread in this room.;1;[12];36;
counting;16;390548429;Please tell me how many loaves of bread there are somewhere in the room?;2;[12];36;
counting;16;862992317;There are between 0 and 3 loaves of bread in the room. How many are there?;3;[12];36;
counting;17;429187354;There are between 0 and 3 plates in the room. How many are there?;0;[4];36;
counting;17;3341997;Please tell me how many plates are around here?;1;[4];36;
counting;17;569695415;Count the number of plates in this room.;2;[4];36;
counting;17;95640735;Count the number of plates in this room.;3;[4];36;
counting;17;861355708;There are between 0 and 3 apples in the room. How many are there?;0;[9];36;
counting;17;567035299;Please tell me how many apples are around here?;1;[9];36;
counting;17;241644135;Please tell me how many apples there are somewhere in the room?;2;[9];36;
counting;17;821365906;Please tell me how many apples are around here?;3;[9];36;
counting;17;987875417;Please tell me how many plates are around here?;0;[4];36;
counting;17;795845261;Please tell me how many plates are around here?;1;[4];36;
counting;17;513882295;Please tell me how many plates are around here?;2;[4];36;
counting;17;474442542;Count the number of plates in this room.;3;[4];36;
counting;17;952229552;Please tell me how many forks are around here?;0;[3];36;
counting;17;76332050;Count the number of forks in this room.;1;[3];36;
counting;17;674085901;Please tell me how many forks there are somewhere in the room?;2;[3];36;
counting;17;797622109;There are between 0 and 3 forks in the room. How many are there?;3;[3];36;
counting;17;220448777;How many apples are there in the room?;0;[9];36;
counting;17;762190676;Please tell me how many apples there are somewhere in the room?;1;[9];36;
counting;17;753733319;Please tell me how many apples there are somewhere in the room?;2;[9];36;
counting;17;83582445;Please tell me how many apples are around here?;3;[9];36;
counting;17;165726326;Please tell me how many eggs are around here?;0;[5];36;
counting;17;897518412;Please tell me how many eggs there are somewhere in the room?;1;[5];36;
counting;17;808127384;Count the number of eggs in this room.;2;[5];36;
counting;17;242328128;How many eggs are there in the room?;3;[5];36;
counting;17;287999149;Count the number of bowls in this room.;0;[7];36;
counting;17;698043326;There are between 0 and 3 bowls in the room. How many are there?;1;[7];36;
counting;17;20994196;Please tell me how many bowls there are somewhere in the room?;2;[7];36;
counting;17;361355258;Count the number of bowls in this room.;3;[7];36;
counting;17;124623049;How many bowls are there in the room?;0;[7];36;
counting;17;980086391;Count the number of bowls in this room.;1;[7];36;
counting;17;819056031;There are between 0 and 3 bowls in the room. How many are there?;2;[7];36;
counting;17;238724439;There are between 0 and 3 bowls in the room. How many are there?;3;[7];36;
counting;18;618916787;Count the number of tomatoes in this room.;0;[6];36;
counting;18;320635976;There are between 0 and 3 tomatoes in the room. How many are there?;1;[6];36;
counting;18;488714077;Please tell me how many tomatoes are around here?;2;[6];36;
counting;18;898019378;Please tell me how many tomatoes there are somewhere in the room?;3;[6];36;
counting;18;277756763;How many bowls are there in the room?;0;[7];36;
counting;18;7305799;Please tell me how many bowls are around here?;1;[7];36;
counting;18;44271582;Please tell me how many bowls are around here?;2;[7];36;
counting;18;582731981;There are between 0 and 3 bowls in the room. How many are there?;3;[7];36;
counting;18;891130668;Count the number of spoons in this room.;0;[1];36;
counting;18;489511483;Please tell me how many spoons there are somewhere in the room?;1;[1];36;
counting;18;842047761;Please tell me how many spoons there are somewhere in the room?;2;[1];36;
counting;18;508665397;There are between 0 and 3 spoons in the room. How many are there?;3;[1];36;
counting;18;921905498;How many apples are there in the room?;0;[9];36;
counting;18;20078193;How many apples are there in the room?;1;[9];36;
counting;18;43494898;Please tell me how many apples there are somewhere in the room?;2;[9];36;
counting;18;871994301;There are between 0 and 3 apples in the room. How many are there?;3;[9];36;
counting;18;864269393;How many forks are there in the room?;0;[3];36;
counting;18;347066997;There are between 0 and 3 forks in the room. How many are there?;1;[3];36;
counting;18;634407107;How many forks are there in the room?;2;[3];36;
counting;18;429618338;Please tell me how many forks are around here?;3;[3];36;
counting;18;148483976;Please tell me how many heads of lettuce there are somewhere in the room?;0;[8];36;
counting;18;128968651;Count the number of heads of lettuce in this room.;1;[8];36;
counting;18;250223439;Count the number of heads of lettuce in this room.;2;[8];36;
counting;18;13706256;There are between 0 and 3 heads of lettuce in the room. How many are there?;3;[8];36;
counting;18;664213113;Count the number of forks in this room.;0;[3];36;
counting;18;924716391;How many forks are there in the room?;1;[3];36;
counting;18;403288060;There are between 0 and 3 forks in the room. How many are there?;2;[3];36;
counting;18;862292293;There are between 0 and 3 forks in the room. How many are there?;3;[3];36;
counting;19;882092062;There are between 0 and 3 tomatoes in the room. How many are there?;0;[6];36;
counting;19;629024940;There are between 0 and 3 tomatoes in the room. How many are there?;1;[6];36;
counting;19;8067811;Please tell me how many tomatoes are around here?;2;[6];36;
counting;19;802183632;There are between 0 and 3 tomatoes in the room. How many are there?;3;[6];36;
counting;19;489802196;Count the number of tomatoes in this room.;0;[6];36;
counting;19;499717943;Count the number of tomatoes in this room.;1;[6];36;
counting;19;105735891;There are between 0 and 3 tomatoes in the room. How many are there?;2;[6];36;
counting;19;484679716;Please tell me how many tomatoes there are somewhere in the room?;3;[6];36;
counting;19;263808295;Please tell me how many mugs there are somewhere in the room?;0;[13];36;
counting;19;99894882;There are between 0 and 3 mugs in the room. How many are there?;1;[13];36;
counting;19;833213644;Count the number of mugs in this room.;2;[13];36;
counting;19;97892395;Please tell me how many mugs are around here?;3;[13];36;
counting;19;591708098;Please tell me how many plates there are somewhere in the room?;0;[4];36;
counting;19;78548743;Please tell me how many plates are around here?;1;[4];36;
counting;19;265995780;How many plates are there in the room?;2;[4];36;
counting;19;748886858;Count the number of plates in this room.;3;[4];36;
counting;19;183633112;Count the number of apples in this room.;0;[9];36;
counting;19;161667975;Please tell me how many apples are around here?;1;[9];36;
counting;19;790091825;How many apples are there in the room?;2;[9];36;
counting;19;684554631;There are between 0 and 3 apples in the room. How many are there?;3;[9];36;
counting;19;274695146;How many eggs are there in the room?;0;[5];36;
counting;19;124326310;Count the number of eggs in this room.;1;[5];36;
counting;19;904420333;Please tell me how many eggs there are somewhere in the room?;2;[5];36;
counting;19;409819535;Please tell me how many eggs there are somewhere in the room?;3;[5];36;
counting;20;82711302;There are between 0 and 3 bowls in the room. How many are there?;0;[7];36;
counting;20;962325655;Please tell me how many bowls are around here?;1;[7];36;
counting;20;326200970;Please tell me how many bowls there are somewhere in the room?;2;[7];36;
counting;20;480328345;Please tell me how many bowls there are somewhere in the room?;3;[7];36;
counting;20;799666196;How many forks are there in the room?;0;[3];36;
counting;20;216889296;Please tell me how many forks are around here?;1;[3];36;
counting;20;743823232;There are between 0 and 3 forks in the room. How many are there?;2;[3];36;
counting;20;419955044;There are between 0 and 3 forks in the room. How many are there?;3;[3];36;
counting;20;319473195;Count the number of spoons in this room.;0;[1];36;
counting;20;351825707;Please tell me how many spoons are around here?;1;[1];36;
counting;20;244994485;How many spoons are there in the room?;2;[1];36;
counting;20;873570130;Please tell me how many spoons there are somewhere in the room?;3;[1];36;
counting;20;238761659;There are between 0 and 3 knives in the room. How many are there?;0;[10];36;
counting;20;240867293;Please tell me how many knives there are somewhere in the room?;1;[10];36;
counting;20;259716002;Please tell me how many knives there are somewhere in the room?;2;[10];36;
counting;20;641095422;How many knives are there in the room?;3;[10];36;
counting;20;956889113;Please tell me how many knives are around here?;0;[10];36;
counting;20;916857654;Count the number of knives in this room.;1;[10];36;
counting;20;136002248;How many knives are there in the room?;2;[10];36;
counting;20;101433287;Please tell me how many knives are around here?;3;[10];36;
counting;20;463190139;How many potatoes are there in the room?;0;[2];36;
counting;20;708497532;Count the number of potatoes in this room.;1;[2];36;
counting;20;478684473;How many potatoes are there in the room?;2;[2];36;
counting;20;112537980;Please tell me how many potatoes are around here?;3;[2];36;
counting;22;801976865;Please tell me how many tomatoes there are somewhere in the room?;0;[6];36;
counting;22;407029418;There are between 0 and 3 tomatoes in the room. How many are there?;1;[6];36;
counting;22;196364871;Please tell me how many tomatoes are around here?;2;[6];36;
counting;22;751451812;There are between 0 and 3 tomatoes in the room. How many are there?;3;[6];36;
counting;22;362603435;Please tell me how many loaves of bread are around here?;0;[12];36;
counting;22;767769682;How many loaves of bread are there in the room?;1;[12];36;
counting;22;314281346;How many loaves of bread are there in the room?;2;[12];36;
counting;22;881506866;There are between 0 and 3 loaves of bread in the room. How many are there?;3;[12];36;
counting;23;531030928;Please tell me how many potatoes there are somewhere in the room?;0;[2];36;
counting;23;548890441;Count the number of potatoes in this room.;1;[2];36;
counting;23;679398398;There are between 0 and 3 potatoes in the room. How many are there?;2;[2];36;
counting;23;308828359;How many potatoes are there in the room?;3;[2];36;
counting;23;988352166;How many spoons are there in the room?;0;[1];36;
counting;23;759126760;Please tell me how many spoons there are somewhere in the room?;1;[1];36;
counting;23;663410597;How many spoons are there in the room?;2;[1];36;
counting;23;7813958;Please tell me how many spoons there are somewhere in the room?;3;[1];36;
counting;23;850595583;Count the number of eggs in this room.;0;[5];36;
counting;23;640920464;Count the number of eggs in this room.;1;[5];36;
counting;23;371634777;How many eggs are there in the room?;2;[5];36;
counting;23;819695419;Please tell me how many eggs are around here?;3;[5];36;
counting;23;924365259;There are between 0 and 3 potatoes in the room. How many are there?;0;[2];36;
counting;23;209943486;Please tell me how many potatoes are around here?;1;[2];36;
counting;23;391631869;Count the number of potatoes in this room.;2;[2];36;
counting;23;846383828;Count the number of potatoes in this room.;3;[2];36;
counting;24;985067937;How many tomatoes are there in the room?;0;[6];36;
counting;24;227634152;How many tomatoes are there in the room?;1;[6];36;
counting;24;431848737;Count the number of tomatoes in this room.;2;[6];36;
counting;24;347439722;How many tomatoes are there in the room?;3;[6];36;
counting;24;118764031;Please tell me how many heads of lettuce are around here?;0;[8];36;
counting;24;564377487;There are between 0 and 3 heads of lettuce in the room. How many are there?;1;[8];36;
counting;24;512928875;Please tell me how many heads of lettuce are around here?;2;[8];36;
counting;24;907287908;There are between 0 and 3 heads of lettuce in the room. How many are there?;3;[8];36;
counting;24;851762355;How many forks are there in the room?;0;[3];36;
counting;24;755721159;Please tell me how many forks are around here?;1;[3];36;
counting;24;697454130;How many forks are there in the room?;2;[3];36;
counting;24;506176267;There are between 0 and 3 forks in the room. How many are there?;3;[3];36;
counting;24;620185429;How many potatoes are there in the room?;0;[2];36;
counting;24;392446454;How many potatoes are there in the room?;1;[2];36;
counting;24;985802577;Please tell me how many potatoes are around here?;2;[2];36;
counting;24;67664534;Please tell me how many potatoes are around here?;3;[2];36;
counting;24;432656636;There are between 0 and 3 mugs in the room. How many are there?;0;[13];36;
counting;24;974762139;Please tell me how many mugs there are somewhere in the room?;1;[13];36;
counting;24;756627880;How many mugs are there in the room?;2;[13];36;
counting;24;940504433;Please tell me how many mugs are around here?;3;[13];36;
counting;25;431014093;How many spoons are there in the room?;0;[1];36;
counting;25;210959646;Please tell me how many spoons there are somewhere in the room?;1;[1];36;
counting;25;724129318;How many spoons are there in the room?;2;[1];36;
counting;25;778014684;There are between 0 and 3 spoons in the room. How many are there?;3;[1];36;
counting;25;926674291;Please tell me how many forks there are somewhere in the room?;0;[3];36;
counting;25;750153438;Please tell me how many forks there are somewhere in the room?;1;[3];36;
counting;25;19177839;How many forks are there in the room?;2;[3];36;
counting;25;110215955;How many forks are there in the room?;3;[3];36;
counting;25;38463985;Please tell me how many tomatoes there are somewhere in the room?;0;[6];36;
counting;25;975218620;How many tomatoes are there in the room?;1;[6];36;
counting;25;992814793;Please tell me how many tomatoes there are somewhere in the room?;2;[6];36;
counting;25;100203484;Please tell me how many tomatoes are around here?;3;[6];36;
counting;19;831448990;How many potatoes are there in the room?;0;[2];36;
counting;19;563934498;Please tell me how many potatoes there are somewhere in the room?;1;[2];36;
counting;19;299953577;Count the number of potatoes in this room.;2;[2];36;
counting;19;526114049;There are between 0 and 3 potatoes in the room. How many are there?;3;[2];36;
counting;19;309484885;How many tomatoes are there in the room?;0;[6];36;
counting;19;816233340;Count the number of tomatoes in this room.;1;[6];36;
counting;19;21455579;Please tell me how many tomatoes are around here?;2;[6];36;
counting;19;582196019;How many tomatoes are there in the room?;3;[6];36;
counting;19;188609247;Count the number of spoons in this room.;0;[1];36;
counting;19;266226046;Please tell me how many spoons there are somewhere in the room?;1;[1];36;
counting;19;709671647;How many spoons are there in the room?;2;[1];36;
counting;19;396462009;There are between 0 and 3 spoons in the room. How many are there?;3;[1];36;
counting;19;784486089;Please tell me how many spoons there are somewhere in the room?;0;[1];36;
counting;19;600763514;Count the number of spoons in this room.;1;[1];36;
counting;19;491026463;There are between 0 and 3 spoons in the room. How many are there?;2;[1];36;
counting;19;313027856;How many spoons are there in the room?;3;[1];36;
counting;19;252729619;There are between 0 and 3 knives in the room. How many are there?;0;[10];36;
counting;19;232911305;There are between 0 and 3 knives in the room. How many are there?;1;[10];36;
counting;19;845495221;How many knives are there in the room?;2;[10];36;
counting;19;237479970;Please tell me how many knives there are somewhere in the room?;3;[10];36;
counting;20;952342916;Please tell me how many tomatoes there are somewhere in the room?;0;[6];36;
counting;20;28084512;There are between 0 and 3 tomatoes in the room. How many are there?;1;[6];36;
counting;20;526881150;Please tell me how many tomatoes there are somewhere in the room?;2;[6];36;
counting;20;147258189;Please tell me how many tomatoes there are somewhere in the room?;3;[6];36;
counting;20;893525689;Count the number of spoons in this room.;0;[1];36;
counting;20;723768326;There are between 0 and 3 spoons in the room. How many are there?;1;[1];36;
counting;20;927831699;There are between 0 and 3 spoons in the room. How many are there?;2;[1];36;
counting;20;312876689;Please tell me how many spoons there are somewhere in the room?;3;[1];36;
counting;20;512900563;Please tell me how many loaves of bread there are somewhere in the room?;0;[12];36;
counting;20;1939289;There are between 0 and 3 loaves of bread in the room. How many are there?;1;[12];36;
counting;20;988916697;Count the number of loaves of bread in this room.;2;[12];36;
counting;20;233226804;Count the number of loaves of bread in this room.;3;[12];36;
counting;20;539632783;Count the number of bowls in this room.;0;[7];36;
counting;20;31355859;Count the number of bowls in this room.;1;[7];36;
counting;20;18789083;Please tell me how many bowls are around here?;2;[7];36;
counting;20;414736373;There are between 0 and 3 bowls in the room. How many are there?;3;[7];36;
counting;20;90119001;Please tell me how many tomatoes are around here?;0;[6];36;
counting;20;156663513;Please tell me how many tomatoes there are somewhere in the room?;1;[6];36;
counting;20;251907655;How many tomatoes are there in the room?;2;[6];36;
counting;20;442992000;Please tell me how many tomatoes are around here?;3;[6];36;
counting;20;234489593;Please tell me how many loaves of bread there are somewhere in the room?;0;[12];36;
counting;20;352848162;Please tell me how many loaves of bread are around here?;1;[12];36;
counting;20;352089161;Please tell me how many loaves of bread are around here?;2;[12];36;
counting;20;206380375;There are between 0 and 3 loaves of bread in the room. How many are there?;3;[12];36;
counting;20;590236198;There are between 0 and 3 loaves of bread in the room. How many are there?;0;[12];36;
counting;20;211406964;Count the number of loaves of bread in this room.;1;[12];36;
counting;20;302788004;Please tell me how many loaves of bread there are somewhere in the room?;2;[12];36;
counting;20;169352159;How many loaves of bread are there in the room?;3;[12];36;
counting;22;726219135;Please tell me how many spoons are around here?;0;[1];36;
counting;22;138143437;Count the number of spoons in this room.;1;[1];36;
counting;22;289226557;How many spoons are there in the room?;2;[1];36;
counting;22;981372153;How many spoons are there in the room?;3;[1];36;
counting;22;692499294;How many mugs are there in the room?;0;[13];36;
counting;22;338878545;There are between 0 and 3 mugs in the room. How many are there?;1;[13];36;
counting;22;362062729;How many mugs are there in the room?;2;[13];36;
counting;22;638470537;How many mugs are there in the room?;3;[13];36;
counting;22;543809815;There are between 0 and 3 spoons in the room. How many are there?;0;[1];36;
counting;22;242759964;Please tell me how many spoons are around here?;1;[1];36;
counting;22;776694310;There are between 0 and 3 spoons in the room. How many are there?;2;[1];36;
counting;22;541042077;Please tell me how many spoons there are somewhere in the room?;3;[1];36;
counting;22;558077176;Please tell me how many eggs are around here?;0;[5];36;
counting;22;679266565;Please tell me how many eggs there are somewhere in the room?;1;[5];36;
counting;22;17458642;There are between 0 and 3 eggs in the room. How many are there?;2;[5];36;
counting;22;854297066;How many eggs are there in the room?;3;[5];36;
counting;22;63571257;How many mugs are there in the room?;0;[13];36;
counting;22;69583094;Count the number of mugs in this room.;1;[13];36;
counting;22;322856339;Please tell me how many mugs are around here?;2;[13];36;
